ser,country,q101,q102,q103,q2011,q2012,q2013,q2014,q2015,q202,q204,q205,q206,q207,q210,q211,q212,q2131,q2132,q2133,q2134,q2135,q214,q215,q216,q217,q219,q221,q222,q224,q2251,q2252,q226,q227,q228,q2301,q2302,q2311,q2312,q2321,q2322,q2323,q2324,q234,q235,q236,q237,q238,q239,q240,q241,q242,q243,q244,q2451,q2452,q2453,q2454,q2461,q2462,q2463,q2464,q2471,q2472,q2473,q2474,q2475,q2476,q248withoutpalestine,q248donlypalestine,q249withoutpalestine,q249onlypalestine,q2501,q2502,q2511,q2512,q2513,q2514,q252,q253,q254,q2551,q2552,q2553,q2554,q2561,q2562,q2563,q2564,q2565,q2571,q2572,q301,q3021,q3022,q3031,q3032,q3033,q304,q305,q306,q4011,q4012,q4013,q4014,q4021,q4022,q4023,q501,q5021,q5022,q5023,q5024,q5025,q5026,q503,q5041,q5042,q5043,q5044,q5045,q5046,q5051,q5052,q5053,q5054,q5055,q5056,q5057,q5061,q5062,q5063,q5071,q5072,q5073,q5074,q5075,q601,q602,q6031,q6032,q6033,q6034,q6035,q604,q605,q606,q607,q608,q609,q610,q611,q612,q6131,q6132,q6133,q701,q701agecategories,q702,q703,q703dichotomous,q704,q705,q706,q707,q708,q709,q710,q711,q712,q713,q714,q714a,q715withoutmorocco,q716withoutmorocco,V715onlymorocco,V716onlymorocco,q715incomedeciles,q716incomedeciles,q717
1241,2,4,4,4,3,1,3,4,4,2,1,2,2,1,1,2,2,3,2,4,3,4,3,1,2,1,3,1,5,5,2,4,2, ,1,3,3,3,4,2,3,2,3,2,5,4,5,6,7,7,6,1,1,1,3,4,2,4,2,3,3,2,3,4,3,2,5,3,100,1,100,5,2,100,2,2,3,2,4,2,2,2,2,1,2,2,1,1,1,1,1,98,1,4,6,100,100,100,2,5,1,3,2,2,1,1,3,1,2,2,1,1,1,1,1,4,4,4,1,2,2,4,2,1,3,1,1,1,2,3,3,3,1,4,4,3,2,1,3,1,1,2,2,1,4,4,4,2,1,3,1,100,100,100,100,100,48,4,1,1,0,2,4, , , ,2, ,1,1,1,1,1,300,300,100,100,3,1,100
947,2,4,4,4,3,2,3,2,1,2,2,2,3,1,1,1,2,2,2,2,2,2,3,1,1,1,4,3,5,5,3,2,2, ,1,2,2,1,2,3,3,3,2,4,10,5,1,7,1,6,8,1,3,1,1,4,2,2,1,4,4,4,4,4,4,4,4,2,100,4,100,1,4,100,2,2,2,2,1,1,1,1,1,1,1,4,1,3,4,1,1,1,2,4,6,100,100,100,4,5,1,1,3,3,2,2,3,1,3,1,1,4,4,2,4,1,3,3,2,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,2,2,1,4,1,98,2,2,98,1,4,2,2,1,2,1,100,100,100,100,100,30,2,1,4,1,1, ,1,12,1,2,14,1,3,1,1,2,2450,2450,100,100,9,8,100
703,2,4,4,4,3,2,3,4,4,2,2,2,3,1,2,2,2,1,1,1,5,5,3,3,2,1,5,3,5,5,3,2,2, ,1,3,3,4,2,3,2,98,3,2,4,8,1,6,8,6,1,1,3,1,2,4,1,2,4,4,4,3,3,4,4,2,2,3,100,1,100,5,3,100,4,4,2,4,1,3,4,1,2,2,1,4,2,1,1,4,2,2,3,4,1,100,100,100,2,5,1,3,2,2,3,3,2,3,3,1,1,4,4,1,1,1,3,3,2,2,3,4,2,2,2,4,2,1,4,3,3,3,3,4,4,4,1,1,2,2,2,1,1,2,2,4,3,1,1,2,2,100,100,100,100,100,18,1,2,4,1,2,2, , , ,2, ,1,3,1,2,1, ,1000,100,100, ,3,100
48,2,4,4,4,3,4,4,4,4,2,1,3,4,1,2,2,98,2,2,2,3,3,4,3,2,1,98,2,5,5,1,1,2, ,1,3,3,1,4,98,98,98,98,4,3,5,1,7,2,1,1,4,5,4,1,3,1,2,2,3,4,1,3,3,2,2,2,2,100,1,100,4,3,100,3,3,2,3,2,2,3,1,1,1,1,4,4,1,1,4,98,98,2,6,1,100,100,100,4,5,1,3,3,3,4,3,2,2, ,1,1,4,3,2,1,1,3,4,1,4,1,4,4,2,1,3,2,2,4,3,3,3,3,3,2,2,2,2,4,1,1,2,2,1,1,3,1,2,2,1,2,100,100,100,100,100,54,4,1,3,1,2,4, , , ,2, ,1,2,1,1,2,0,1000,100,100,1.5,3,100
1114,2,4,4,4,4,2,2,4,98,2,2,4,1,1,2,2,98,2,5,4,5,5,4,4,4,1,3,98,5,5,4,1,2, ,2,3,3,5,5,98,3,98,98,4,98,98,98,98,98,98,98,98,98,2,98,4,2,98,2,4,4,2,3,3,4,4,4,4,100,5,100,1,2,100,3,3,2,2,3,99,98,1,1,1,1,2,2,1,1,1,2,2,2,6,4,100,100,100,4,5,1,3,2,2,2,98,98,98, ,1,1,2,3,1,1,1,98,98,98,98,98,98,4,4,1,4,1,1,4,3,3,3,3,3,98,98,98,3,98,98,98,98,98,98,98,98,98,98,98,98,2,100,100,100,100,100,76,7,1,1,0,2,1, , , ,2, ,1,1,1,1,1, ,300,100,100, ,1,100
8,2,4,4,4,4,3,4,1,1,2,2,3,2,1,2,3,2,2,2,2,2,4,4,4,3,1,2,3,1,5,1,1,2, ,1,3,3,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,5,2,3,3,3,3,3,2,1,1,3,3,3,3,3,3,100,5,100,1,2,100,2,1,1,3,2,3,1,2,2,2,2,3,3,1,1,1,2,2,2,4,6,100,100,100,1,5,1,2,3,3,3,2,2,2,3,2,2,2,2,2,2, ,1,1,1,1,1,1,3,1,1,3,1,1,3,3,3,3,2,1,1,2,2,2,4,1,1,1,1,1,2,2,2,1,1,1,2,100,100,100,100,100,33,2,1,4,1,2,4, , , ,2,14,1,1,1,2,1,700,1700,100,100,4,6,100
481,2,4,4,4,4,4,2,4,4,1,2,2,2,1,2,4,1,2,2,2,4,3,4,3,2,1,5,3,5,5,3,2,2, ,2,3,3,2,3,3,3,3,2,4,1,98,1,8,10,9,10,5,5,1,2,3,2,2,2,4,2,2,3,3,3,4,2,2,100,4,100,1,2,100,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,4,5,100,100,100,3,5,1,2,4,3,2,2,3,2,2,1,1,1,4,1,1,6,2,3,2,2,2,3,2,2,1,1,1,1,1,1,3,3,4,3,2,2,2,1,4,1,1,2,2,1,1,3,4,1,1,3,98,100,100,100,100,100,50,4,2,3,1,2,2, , , ,2,7,1,2,1,2,2,5000,5000,100,100,10,10,100
335,2,4,4,4,4,4,4,2,2,1,2,2,1,1,1,1,2,3,2,4,3,1,2,3,4,1,3,1,5,5,3,4,1,4,2,3,3,1,2,3,2,1,2,4,2,2,9,9,9,9,9,1,2,1,3,4,2,1,1,1,3,1,3,4,3,3,3,2,100,1,100,4,4,100,2,1,1,2,2,2,4,1,3,2,2,1,3,2,3,4,2,1,1,1,2,100,100,100,2,1,1,1,3,3,3,2,2,4,3,4,4,3,3,3,2, ,4,3,2,4,3,3,4,1,1,2,2,1,4,3,3,3,1,1,2,2,1,2,4,1,1,2,2,2,4,4,4,2,2,1,2,100,100,100,100,100,53,4,1,4,1,2,4, , , ,2,14,1,1,1,2,1,600,1200,100,100,4,4,100
158,2,4,4,4,4,4,4,4,4,2,1,2,2,1,2,1,1,1,3,3,3,4,4,4,1,1,4,2,5,5,1,1,2, ,2,2,3,4,1,1,1,1,1,4,10,98,1,98,1,1,7,10,6,1,3,3,2,1,1,4,4,3,4,4,4,4,3,3,100,1,100,4,2,100,1,2,2,1,2,3,2,1,1,2,1,1,1,1,1,1,2,2,3,1,2,100,100,100,4,5,2,1,2,2,4,4,2,2,3,1,1,2,3,3,3,1,4,4,1,4,4,2,2,4,2,2,4,2,4,2,2,2,4,2,4,4,2,3,4,1,1,2,2,1,98,4,4,98,2,1,2,100,100,100,100,100,38,3,1,2,1,2,4, , , ,2,14,1,1,1,1,2,300,300,100,100,3,1,100
4,2,4,4,4,4,4,4,4,4,2,1,2,2,1,2,3,2,4,4,4,4,4,4,4,3,1,3,4,5,5,3,3,2, ,1,2,2,1,3,4,4,4,4,2,1,1,1,10,10,6,10,1,1,1,3,3,3,3,1,4,4,3,3,3,3,3,3,3,100,2,100,5,4,100,1,1,1,1,1,2,3,2,2,2,2,2,1,2,1,1,1,1,1,4,5,100,100,100,1,5,1,2,3,3,3,3,3,3,2,4,4,2,4,3,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,4,4,3,2,2,2,2,100,100,100,100,100,30,2,1,4,1,1, ,1,12,1,2,14,1,5,1,2,2,1800,2000,100,100,7,6,100
266,2,4,4,4,4,4,4,4,4,2,2,1,2,2,2,4,1,2,5,1,5,5,3,3,2,1,1,3,5,5,2,2,2, ,1,3,2,3,4,3,3,3,3,2,3,8,9,7,10,8,10,1,1,1,1,3,1,1,2,4,4,4,4,2,2,2,2,2,100,4,100,5,4,100,2,2,4,2,2,1,4,1,1,1,1,3,4,4,1,1,2,2,1,6,4,100,100,100,2,5,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3, ,3,3,2,2,4,2,1,1,1,3,2,1,1,3,3,2,2,2,2,2,2,1,4,2,2,2,2,2,2,4,3,2,1,2,99,100,100,100,100,100,20,1,2,3,1,2,2, , , ,2,5,1,3,1,2,2,0,1050,100,100,1.5,4,100
40,2,4,4,4,4,4,4,4,4,2,2,3,1,1,1,1,1,1,1,3,3,3,4,4,4,1,1,3,5,5,3,1,2, ,1,3,3,4,1,3,3,3,2,2,10,10,1,10,1,10,1,10,10,1,2,2,3,2,2,2,2,2,4,4,4,4,4,4,100,5,100,1,4,100,4,4,4,4,1,3,4,1,1,1,1,1,4,1,4,1,1,1,1,2,1,100,100,100,3,5,1,1,4,3,3,2,3,3,2,4,4,1,1,4,1,4,3,2,1,2,1,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,1,98,1,1,2,2,1,4,4,3,2,2,3,2,100,100,100,100,100,38,3,1,3,1,2,4, , , ,2,14,1,4,2, ,3,600,600,100,100,4,2,100
857,2,4,4,4,4,4,4,4,4,2,2,3,2,1,1,1,1,3,2,3,2,2,4,2,1,1,5,3,5,1,2,1,2, ,2,2,3,1,2,4,4,3,2,3,98,7,1,6,10,4,10,4,5,1,3,3,2,2,2,4,4,4,3,3,3,3,2,3,100,5,100,1,4,100,3,3,2,2,1,2,4,1,2,1,1,4,1,1,1,2,1,1,1,1,4,100,100,100,4,1,4,2,3,3,2,1,1,2,3,1,1,3,4,3,2,1,3,3,2,2,1,3,2,1,1,3,2,2,3,2,3,3,1,1,2,2,2,1,4,98,2,2,2,2,2,3,2,2,2,2,2,100,100,100,100,100,55,5,2,5,1,2,2, , , ,2,9,1,3,1,2,1,1100,1100,100,100,6,4,100
69,2,4,4,4,4,98,4,1,1,2,2,2,3,1,2,1,2,2,2,3,5,5,4,2,1,1,5,2,5,5,3,2,2, ,1,3,3,2,4,2,2,2,2,4,8,96,1,96,1,96,1,5,10,1,2,3,2,2,2,4,4,4,4,4,4,4,4,4,100,1,100,2,4,100,2,2,2,2,1,2,4,2,2,2,2,4,1,1,1,1,1,1,1,4,6,100,100,100,2,5,1,3,3,3,2,1,3,3,3,2,2,2,2,1,1, ,3,3,2,2,2,3,3,1,1,3,3,2,2,3,3,3,3,3,3,3,2,2,4,1,2,2,2,2,2,3,4,1,1,98,2,100,100,100,100,100,27,2,2,3,1,2,2, , , ,2, ,1,4,1,2,2,0,2600,100,100,1.5,8,100
846,2,4,4,4,4,98,4,4,1,1,2,3,2,1,1,1,2,2,98,3,3,4,4,2,1,1,5,3,5,5,2,1,2, ,1,2,3,2,3,2,2,1,2,4,3,6,1,7,10,8,10,1,1,1,2,3,1,1,3,4,4,4,3,3,2,4,2,4,100,1,100,4,4,100,2,3,3,2,4,2,4,1,2,2,1,4,4,1,1,2,1,1,1,4,5,100,100,100,3,3,1,2,3,2,1,1,2,3,3,2,1,4,1,2,1,2,3,3,1,2,1,3,1,2,1,3,2,2,2,3,3,3,2,1,1,2,3,1,4,1,1,1,1,1,1,3,3,2,2,1,1,100,100,100,100,100,36,3,2,5,1,2,2, , , ,2,12,1,2,1,2,2, ,2500,100,100, ,8,100
75,2,4,4,4,98,2,4,4,4,2,2,2,1,2,2,1,1,1,1,1,5,5,4,4,1,2,4,3,5,5,1,1,2, ,2,3,3,1,3,3,3,2,2,4,5,1,1,7,10,6,8,6,6,5,2,3,2,3,2,4,4,2,98,98,98,2,2,98,100,1,100,5,1,100,2,3,3,3,1,3,3,1,2,2,2,4,4,1,1,1,1,1,2,1,4,100,100,100,2,5,1,2,3,3,2,2,2,2,4,1,1,2,2,2,1, ,3,3,2,2,2,3,2,2,2,3,2,2,2,1,1,1,3,3,3,3,2,1,3,1,1,2,2,1,2,3,3,2,1,2,1,100,100,100,100,100,54,4,2,4,1,2,2, , , ,1, ,1,1,1,2,1, ,200,100,100, ,1,100
1227,2,4,5,1,1,2,3,4,2,1,1,4,2,2,2,2,1,3,2,3,3,4,4,2,2,1,3,3,5,5,4,2,2, ,2,3,3,4,1,3,3,3,2,4,8,7,1,9,8,8,8,5,1,3,1,4,2,2,2,2,4,1,3,3,2,2,2,2,100,5,100,1,3,100,3,4,2,2,4,2,3,2,2,1,1,2,3,1,1,1,1,2,2,6,6,100,100,100,3,5,1,3,2,2,3,3,3,2,4,1,1,2,2,1,1,1,2,3,1,3,1,4,2,2,2,3,2,4,4,3,3,1,2,2,3,2,2,3,2,1,1,2,2,1,3,3,3,2,1,1,2,100,100,100,100,100,34,2,2,6,1,2,2, , , ,2,3,1,2,1,2,1, ,5000,100,100, ,10,100
248,2,4,5,1,1,4,2,4,2,2,1,3,2,2,2,1,1,1,1,3,2,4,2,2,2,1,4,3,5,5,2,2,2, ,1,2,2,1,2,3,2,2,2,4,10,10,3,10,1,10,10,10,4,1,1,4,1,2,1,4,4,1,2,2,2,2,2,2,100,2,100,4,1,100,1,4,4,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,3,100,100,100,3,1,1,4,2,2,2,3,1,4,2,4,4,4,4,2,1, ,2,2,3,3,1,2,4,4,1,1,4,4,4,3,3,3,3,4,4,3,2,2,4,2,2,2,2,2,2,4,4,1,1,2,2,100,100,100,100,100,22,1,1,4,1,1, ,2,7,2,1, ,1,1,1,2,2,1800,2500,100,100,7,8,100
550,2,4,5,1,2,98,1,2,2,2,2,3,2,1,2,1,1,3,2,2,5,2,3,4,2,1,2,3,5,5,1,1,2, ,1,3,2,1,2,2,2,4,2,4,1,6,1,10,8,10,8,5,6,1,1,4,3,3,1,4,4,3,4,4,2,2,2,4,100,4,100,1,4,100,3,4,2,3,1,2,98,1,1,1,1,4,1,1,1,1,2,2,2,6,5,100,100,100,1,3,1,1,3,3,1,4,3,2,2,4,4,3,3,2,1,6,1,4,1,1,4,2,1,2,4,4,1,1,2,3,3,3,1,1,2,2,2,1,4,98,98,98,98,98,1,3,4,2,1,4,2,100,100,100,100,100,40,3,1,5,1,2, , , , ,3, ,1,5,2, ,2,1500,1500,100,100,6,5,100
1093,2,4,5,1,4,4,4,2,4,1,2,1,2,1,1,3,1,1,1,1,1,1,4,1,1,1,5,4,1,4,1,1,2, ,2,2,2,5,5,4,3,4,1,4,2,3,2,9,7,5,9,1,5,1,1,4,4,2,1,4,4,4,4,4,4,4,4,4,100,1,100,5,4,100,4,4,4,1,4,3,4,1,1,1,1,4,1,1,1,1,1,1,2,97,4,100,100,100,1,4,4,1,4,4,1,1,2,1,2,3,3,4,4,1,1,5,4,4,1,2,4,1,1,1,1,4,1,1,2,3,3,3,4,4,4,4,4,1,4,1,1,1,1,1,3,4,4,2,1,4,98,100,100,100,100,100,40,3,1,7,1,1, ,1,3,1,2,3,1,2,1,1,2,6000,10000,100,100,10,10,100
1228,2,4,5,1,4,4,4,4,3,1,1,3,2,2,1,2,1,2,2,3,4,5,3,1,1,1,4,3,1,5,2,4,2, ,1,2,3,5,5,1,1,1,4,1,3,2,5,7,9,5,6,6,4,6,4,4,4,4,4,4,4,4,2,2,3,2,3,2,100,1,100,5,4,100,3,3,2,2,1,3,4,1,1,1,1,4,1,1,1,1,1,1,2,6,4,100,100,100,2,5,2,1,3,3,3,3,1,3,4,1,1,3,3,3,3,1,1,3,3,4,1,3,4,1,2,1,1,2,3,3,3,3,4,3,2,4,4,2,3,1,1,1,1,1,2,3,4,2,2,3,99,100,100,100,100,100,36,3,1,3,1,1, ,1,14,2,2, ,1,1,1,1,1,3000,3000,100,100,9,8,100
575,2,4,5,2,1,3,1,2,2,2,2,1,2,2,2,3,1,4,1,1,5,1,4,2,2,1,4,2,5,5,2,1,1,3,2,2,1,2,1,1,1,2,2,4,2,3,1,5,6,6,1,1,4,10,1,4,1,3,1,2,4,2,4,4,3,4,3,1,100,4,100,5,1,100,1,3,2,2,1,3,2,1,1,1,1,4,4,1,1,2,2,1,2,4,1,100,100,100,2,5,1,2,3,4,4,1,1,1,3,4,3,3,4,3,1,6,2,2,1,1,2,3,1,3,1,3,1,1,3,3,3,3,4,4,4,3,4,1,4,1,1,1,1,1,4,4,4,1,2,2,2,100,100,100,100,100,60,5,1,3,1,2, , , , ,2,14,1,2,1,2,2,2000,2000,100,100,7,6,100
395,2,4,5,2,1,3,1,2,2,2,2,1,3,1,2,2,2,1,2,2,5,5,4,1,1,1,3,98,3,4,2,1,2, ,1,1,3,1,4,3,3,3,1,4,10,7,1,8,10,10,1,5,5,5,1,4,2,2,2,4,4,3,4,3,3,3,2,2,100,4,100,2,98,100,2,3,1,1,98,1,4,2,2,2,3,4,4,1,1,1,2,2,2,4,2,100,100,100,1,3,1,3,2,2,2,1,3,2,3,1,2,2,4,3,1,1,3,4,2,2,1,4,2,2,2,3,2,1,3,3,3,3,2,3,3,2,2,2,2,1,1,1,1,1,1,4,3,1,1,3,1,100,100,100,100,100,49,4,1,3,1,2,4, , , ,2,14,1,3,1,2,2, ,2000,100,100, ,6,100
23,2,4,5,2,1,3,2,4,4,2,2,2,1,1,2,1,1,1,1,1,5,5,4,2,2,1,2,2,5,5,2,2,2, ,1,3,3,1,4,2,3,2,2,4,7,9,3,10,10,9,10,6,4,10,2,4,2,3,2,4,4,2,2,3,2,2,2,2,100,1,100,5,2,100,2,2,2,2,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,4,6,100,100,100,4,5,1,3,1,2,3,1,2,3,4,1,2,4,4,3,3,1,3,3,1,4,3,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2,3,2,4,2,1,1,1,1,1,3,2,2,98,3,2,100,100,100,100,100,34,2,1,5,1,1, ,1,2,2,2, ,1,2,1,2,1,1500,1500,100,100,6,5,100
191,2,4,5,2,1,4,1,4,1,2,1,4,2,1,2,1,1,1,2,2,2,2,4,3,1,1,3,2,5,5,2,2,2, ,1,3,2,4,3,1,1,1,3,2,10,98,5,98,1,1,1,10,5,10,1,4,1,1,1,4,4,2,2,3,3,2,2,2,100,5,100,1,3,100,1,3,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,6,5,100,100,100,4,6,1,1,1,3,4,4,1,1,3,1,1,2,2,1,1,1,2,3,1,4,2,4,2,2,2,4,2,2,4,3,3,3,2,3,2,2,2,2,2,1,2,2,2,98,1,2,4,2,1,2,2,100,100,100,100,100,26,2,1,4,1,1, ,1,5,2,1, ,1,3,1,2,1,1000,1000,100,100,5,3,100
92,2,4,5,2,1,4,2,2,2,2,2,1,3,1,2,1,1,2,2,2,5,3,4,2,1,1,2,2,5,5,2,2,2, ,2,3,3,1,2,2,2,3,2,1,9,1,1,9,10,5,10,2,2,10,3,1,2,3,4,1,1,1,3,3,2,2,2,2,100,1,100,5,1,100,1,4,4,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,6,4,100,100,100,4,5,1,4,1,1,4,4,1,1,4,1,1,4,4,2,1, ,4,4,1,2,1,4,4,1,1,1,4,4,4,2,3,3,1,1,1,1,1,1,4,1,1,1,1,1,4,4,4,2,1,1,2,100,100,100,100,100,40,3,2,5,1,2,2, , , ,2,13,1,1,1,2,2, ,2000,100,100, ,6,100
174,2,4,5,2,1,4,98,4,2,2,2,2,4,1,2,1,1,5,2,4,3,99,3,2,1,1,3,2,5,5,4,2,2, ,1,3,3,3,2,2,1,2,1,4,96,3,2,96,1,7,1,4,10,6,2,4,1,2,4,4,4,2,3,4,4,3,2,2,100,4,100,5,2,100,2,3,3,2,4,1,2,1,1,1,1,4,4,1,1,1,98,2,2,1,3,100,100,100,4,5,1,2,3,2,2,3,2,3,4,2,1,2,2,1,1,6,4,4,2,98,2,2,2,2,2,3,2,2,3,3,3,3,2,3,3,3,2,1,3,98,2,98,98,98,3,3,4,2,2,1,2,100,100,100,100,100,28,2,2,4,1,2,2, , , ,2,9,1,2,1,2,2,0,1500,100,100,1.5,5,100
53,2,4,5,2,1,98,2,3,98,2,2,3,1,2,2,1,1,1,1,2,5,5,4,4,1,1,4,3,5,5,4,4,2, ,2,3,3,1,5,3,1,3,2,4,9,1,1,10,7,4,10,9,8,8,1,4,3,4,4,1,4,4,2,4,3,4,2,4,100,5,100,2,1,100,4,3,3,2,1,98,2,4,3,1,1,4,4,1,4,1,1,98,2,6,4,100,100,100,1,5,1,1,4,4,4,1,1,3,4,1,1,4,4,1,1,1,4,4,1,3,1,4,4,2,1,4,4,4,4,1,1,1,1,4,4,4,4,2,4,2,98,1,1,1,1,4,4,2,2,3,2,100,100,100,100,100,60,5,1,2,1,2,4, , , ,2,14,1,1,1,1,2,1500,1500,100,100,6,5,100
436,2,4,5,2,2,1,2,2,4,2,1,2,3,1,1,2,1,2,5,4,2,4,4,1,1,1,4,2,5,2,2,2,2, ,1,1,3,2,4,4,2,3,1,4,2,4,2,5,5,7,7,1,5,1,2,4,1,2,3,2,4,4,2,2,2,2,2,1,100,2,100,5,4,100,2,4,3,2,4,4,2,1,1,2,1,1,1,3,3,2,98,98,1,1,4,100,100,100,1,3,1,4,1,3,2,2,3,1,1,1,2,1,1,1,1,1,4,4,1,2,2,2,3,2,3,3,3,1,2,3,2,3,2,2,3,2,2,2,4,1,2,2,2,1,1,4,3,1,2,1,1,100,100,100,100,100,34,2,2,5,1,2,2, , , ,2,4,1,2,1,2,2, ,3500,100,100, ,9,100
376,2,4,5,2,2,2,1,4,3,2,1,1,2,2,2,1,2,3,3,3,3,3,3,4,3,1,3,2,1,5,3,2,2, ,1,3,3,2,4,1,1,2,2,1,1,1,1,9,9,1,9,1,1,5,2,2,2,3,1,4,4,4,4,4,4,4,4,4,100,4,100,2,2,100,2,3,3,2,3,3,3,1,1,1,1,3,3,3,3,3,1,1,2,6,4,100,100,100,1,5,1,3,3,3,3,3,2,3,3,1,1,3,3,2,2,1,3,3,3,3,4,3,1,1,3,3,2,2,3,1,3,3,3,2,2,2,2,2,4,2,2,2,2,2,2,3,3,2,2,2,2,100,100,100,100,100,31,2,1,6,1,1, ,1,5,1,2,3,1,1,1,1,2,3500,3500,100,100,10,9,100
571,2,4,5,2,2,2,2,2,2,2,2,2,2,2,98,2,98,2,2,2,5,3,3,4,2,1,2,3,5,5,4,1,2, ,1,3,3,2,4,3,2,3,2,4,98,98,5,98,9,98,7,1,5,6,2,4,2,3,4,1,4,4,2,3,3,3,2,2,100,4,100,1,2,100,3,4,4,4,2,3,3,1,1,1,1,1,1,1,1,2,98,98,2,6,1,100,100,100,1,5,1,1,3,3,4,1,3,1,3,2,1,2,2,2,1,6,3,3,1,4,3,4,2,2,3,4,1,1,2,3,3,3,2,2,3,2,2,2,98,1,2,2,2,2,1,1,2,1,1,3,2,100,100,100,100,100,31,2,2,3,1,2,2, , , ,2,9,1,3,1,2,2, ,3500,100,100, ,9,100
455,2,4,5,2,2,2,2,2,2,2,2,2,3,2,2,1,1,4,2,2,2,3,3,3,1,1,98,3,5,5,2,2,2, ,1,3,3,3,4,2,3,3,2,4,1,1,1,1,1,1,1,5,98,1,2,4,3,3,1,4,4,4,2,3,4,4,2,2,100,4,100,2,3,100,2,2,2,1,1,2,1,1,1,2,2,4,4,1,1,4,2,1,3,4,1,100,100,100,1,5,1,2,3,3,2,3,3,3,1,4,4,4,4,4,4,6,3,3,3,1,1,1,1,1,2,3,1,1,1,3,3,3,3,3,2,2,1,3,2,1,1,1,1,1,1,4,4,2,1,2,1,100,100,100,100,100,23,1,1,3,1,1, ,1,5,2,1, ,2, , , ,2,3000, ,100,100,9, ,100
490,2,4,5,2,2,2,2,98,2,2,1,2,2,1,2,1,2,2,1,2,98,98,4,2,2,1,4,3,5,5,2,1,2, ,2,3,3,4,1,4,3,3,1,3,1,4,1,6,2,7,1,8,8,10,1,3,3,3,1,4,4,4,1,1,1,1,1,1,100,4,100,5,4,100,2,98,1,1,3,2,4,1,1,1,1,2,4,1,1,1,1,1,2,4,4,100,100,100,4,4,1,2,3,3,1,3,2,1,3,4,4,4,4,3,1,6,3,3,1,2,1,4,4,1,1,3,3,2,2,3,3,3,98,98,98,3,2,3,3,1,1,2,2,1,2,2,3,1,1,2,1,100,100,100,100,100,40,3,1,4,1,1, ,1,9,1,2,3,1,5,2, ,2,1200,4000,100,100,6,9,100
1021,2,4,5,2,2,2,3,2,4,1,1,2,2,2,1,1,1,1,1,1,1,3,4,1,1,1,4,3,1,1, ,4,1,4,1,2,2,1,2,4,4,3,2,1,10,5,10,10,10,10,10,10,10,5,1,4,2,1,1,2,4,1,3,4,4,2,2,1,100,5,100,4,98,100,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,100,100,100,2,5,1,1,2,3,1,4,2,3,3,1,1,2,3,1,1,1,4,4,1,2,2,1,2,3,1,4,3,4,3,2,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,4,1,1,1,3,2,100,100,100,100,100,26,2,1,6,1,1, ,1,5,1,1, ,1,2,1,1,2,1800,3000,100,100,7,8,100
1269,2,4,5,2,2,3,2,4,4,2,1,3,4,2,2,3,98,2,3,3,4,4,3,3,3,3,2,3,3,2,3,3,1,4,1,3,3,4,3,3,3,4,3, ,10,10,10,10,10,10,10,3,4,3,2,3,3,3,2,2,1,1,3,3,2,2,2,2,100,1,100,4,2,100,2,3,4,3,4,2,4,3,3,2,1,1,4,1,2,2,1,1,2,1,2,100,100,100,3,5,3,2,3,3,2,2,2,3,3,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,98,2,3,2,100,100,100,100,100,41,3,1,2,1,1, ,1,14,2,2, ,1,2,1,2,2,2700,2700,100,100,9,8,100
1070,2,4,5,2,2,3,4,1,1,1,1,3,1,1,1,2,1,2,2,3,3,3,4,1,1,1,1,3,2,5,1,1,2, ,1,2,2,1,4,4,1,3,2,4,5,1,2,8,9,10,10,7,6,1,1,4,2,2,2,4,4,4,4,4,4,4,4,4,100,1,100,3,4,100,2,3,2,3,1,4,4,1,1,1,1,4,1,1,2,1,1,1,1,4,3,100,100,100,3,3,1,2,4,4,2,1,3,1,1,4,4,4,3,3,1,6,3,3,2,2,3,2,1,1,3,3,1,1,1,1,1,1,2,3,3,2,3,2,4,2,1,2,2,1,2,2,4,2,1,1,1,100,100,100,100,100,35,3,1,6,1,1, ,1,5,2,2, ,1,3,1,2,2,1800,1800,100,100,7,6,100
